Antwerpen,BrabantWallon,Brussels,Hainaut,Limburg,Liège,Luxembourg,Namur,OostVlaanderen,VlaamsBrabant,WestVlaanderen
826,327,747,456,512,914,119,319,601,554,678
839,286,725,491,465,816,151,262,559,545,634
957,320,805,412,567,817,151,281,630,505,596
1037,306,790,519,584,892,146,341,566,595,617
1140,346,772,514,554,931,164,321,617,644,643
630,148,522,239,198,402,52,189,358,282,381
550,21,352,74,174,17,24,79,131,195,197
1712,404,891,745,781,1243,185,473,978,855,1065
1647,394,868,799,718,1366,202,407,902,770,977
1608,393,846,714,708,1213,226,387,973,793,958
1605,400,835,791,703,1106,165,446,963,768,1047
1585,433,811,773,832,1130,205,419,920,836,983
856,212,475,357,295,453,44,187,565,403,561
680,40,330,73,217,21,41,71,323,256,386
893,34,431,127,286,69,38,41,323,277,434
1914,480,772,976,959,1600,269,466,1462,1017,1523
1819,400,720,888,871,1224,278,503,1279,937,1483
1725,340,700,808,877,1150,266,408,1199,965,1405
1798,382,786,925,1065,1171,247,491,1410,965,1598
974,209,616,566,406,538,90,255,847,509,930
893,39,419,126,319,38,40,108,525,399,607
2582,486,1086,1111,1250,1681,347,577,2166,1452,2242
2129,421,958,1082,1148,1250,315,635,1742,1176,1862
2141,401,912,1062,1045,1170,214,616,1854,1209,1834
1125,64,469,186,371,86,51,196,726,422,767
2113,469,903,1189,1093,1239,285,681,2175,1231,2094
1403,244,635,621,630,555,87,439,1192,668,1447
1303,57,448,215,543,30,77,164,810,505,837
3732,594,1313,1623,1770,1773,433,817,3630,1934,2978
3083,559,1080,1717,1656,1559,383,764,2909,1587,2826
3148,518,1121,1413,1716,1362,409,742,2959,1783,2730
3453,469,1043,1454,1751,1220,372,695,3225,1728,2900
3526,536,1137,1413,1813,1343,397,745,3433,1790,2804
1938,329,857,875,872,685,141,421,2013,1003,1707
1548,93,545,178,666,44,71,159,1141,736,1134
4619,715,1524,1790,2493,1897,528,767,4641,2618,3779
3727,645,1291,1936,2003,1648,459,836,3513,2019,2806
3456,542,1283,1635,1869,1448,429,730,3540,2055,2986
3571,619,1250,1653,1767,1434,422,754,3526,1963,3018
3498,681,1238,1598,1902,1454,499,864,3412,2013,2637
1846,328,1060,1091,832,722,199,487,1839,1117,1720
1530,89,897,305,548,66,109,183,976,713,1177
4160,886,1644,2090,2114,1924,583,902,4588,2631,3398
3357,798,1536,2167,1761,1625,516,828,3367,2101,2537
3060,731,1654,1976,1703,1426,441,729,3212,2116,2382
3038,777,1477,1868,1701,1250,468,689,2608,1859,2313
2827,703,1449,1747,1655,1308,477,745,2599,1876,2136
1619,342,1050,952,708,586,161,384,1343,893,1178
1222,73,726,249,441,34,121,127,868,724,917
3054,791,1700,1967,1943,1773,432,798,3216,2142,2659
2296,694,1353,1806,1346,1366,432,749,2084,1554,1720
2129,639,1471,1792,1207,1184,352,705,2158,1380,1807
2029,602,1264,1603,1119,988,348,621,1744,1269,1507
1893,680,1194,1635,1066,1047,347,592,1775,1235,1331
1039,333,796,820,462,480,86,292,839,635,850
703,67,525,177,288,17,60,81,470,387,550
1995,580,1227,1700,1091,1184,358,561,2038,1275,1564
1421,494,1145,1532,731,851,301,529,1195,947,1087
1231,409,1079,1195,665,663,199,388,1166,795,1062
1030,441,984,1015,565,594,233,291,1028,728,742
1071,333,891,964,526,526,201,315,981,693,769
634,207,744,462,264,314,41,138,513,366,411
443,39,478,153,157,21,56,69,315,281,242
1151,401,1081,1168,537,709,225,326,1236,892,891
849,292,1153,906,430,510,150,273,860,761,629
836,362,1226,830,425,580,135,246,893,704,580
1002,367,1227,883,434,526,136,244,782,778,505
733,364,1009,609,313,448,107,183,804,807,493
447,39,604,55,136,37,0,20,271,344,225
662,160,976,198,264,43,76,130,441,558,336
1567,702,2111,1386,738,1316,251,437,1683,1528,1016
1464,649,1981,1488,744,1166,253,551,1472,1524,955
